Brand,Year,Gender,Seller_Type,Transmission,Owner,Mileage,Engine_CC,Power_bhp,Price
Toyota,2018,Male,Dealer,Automatic,First Owner,20.68,1252,93.8,1470795
BMW,2021,Female,Dealer,Manual,Fourth & Above Owner,19.32,3034,72.6,737550
Audi,2014,Female,Trustmark Dealer,Automatic,Second Owner,23.13,2563,110.4,617449
Audi,2003,Female,Individual,Manual,First Owner,18.19,963,95.2,548152
BMW,2011,Female,Individual,Automatic,First Owner,10.73,2247,71.1,234581
Audi,2005,Female,Trustmark Dealer,Manual,First Owner,11.2,901,88.6,769164
Toyota,2018,Male,Dealer,Automatic,Fourth & Above Owner,20.94,2252,105.7,576256
Maruti,2003,Male,Dealer,Automatic,Fourth & Above Owner,15.72,1490,103.8,576506
BMW,2014,Female,Dealer,Automatic,Second Owner,,2250,102.2,628333
Ford,2008,Female,Trustmark Dealer,Manual,First Owner,18.46,3425,,666364
Ford,2004,Male,Trustmark Dealer,Automatic,First Owner,17.33,3458,115.6,78223
Hyundai,2012,Female,Individual,Automatic,Second Owner,17.61,2766,120.9,851107
Audi,2022,Female,Trustmark Dealer,Manual,Second Owner,14.54,1335,108.4,346067
Ford,2017,Female,Dealer,Manual,Second Owner,17.94,2825,75.3,558590
Hyundai,2004,Female,Trustmark Dealer,Automatic,Third Owner,15.66,,63.5,985771
Maruti,2015,Female,Trustmark Dealer,Automatic,Second Owner,16.51,2263,76.4,1133835
Toyota,2018,Female,Dealer,Automatic,Fourth & Above Owner,16.71,2429,138.8,89852
Toyota,2013,Male,Dealer,Automatic,Third Owner,17.09,2678,97,609073
Toyota,2015,Male,Trustmark Dealer,Automatic,Second Owner,21.69,923,143.2,681874
Ford,2014,Female,Trustmark Dealer,Manual,Fourth & Above Owner,17.48,3196,87,147741
Maruti,2021,Male,Dealer,Automatic,Second Owner,22.09,1048,83.5,840777
Ford,2003,Female,Dealer,Manual,Second Owner,24.15,,88.1,634879
Audi,2006,Male,Trustmark Dealer,Manual,Third Owner,21.42,2094,87.7,658248
Ford,2015,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,20.14,2252,70.7,324734
Maruti,2021,Male,Individual,Manual,First Owner,19.31,2393,61.3,723866
Maruti,2020,Female,Dealer,Automatic,Second Owner,21.46,1512,,851467
Audi,2021,Male,Trustmark Dealer,Manual,Third Owner,18.36,1046,116.4,638189
Maruti,2020,Female,Dealer,Manual,Fourth & Above Owner,21.94,1280,151.1,445819
Maruti,2007,Female,Dealer,Automatic,Second Owner,20.46,2945,79.2,469179
Toyota,2016,Female,Dealer,Automatic,First Owner,16.56,3176,81.2,666119
Audi,2015,Male,Dealer,Manual,Fourth & Above Owner,21.58,2248,70.7,614639
Honda,2022,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,18.37,1828,,871447
Honda,2009,Female,Individual,Automatic,Third Owner,17.58,2813,110.4,455923
Maruti,2009,Female,Individual,Manual,Second Owner,16.1,,68.1,234486
Honda,2001,Male,Trustmark Dealer,Manual,Second Owner,18.66,1392,67.4,707816
Honda,2008,Female,Individual,Manual,Fourth & Above Owner,21.99,1297,113.8,456741
Maruti,2016,Male,Dealer,Automatic,Second Owner,21.56,2934,99.6,835105
Honda,2010,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,19.41,3249,109,602262
Ford,2009,Female,Trustmark Dealer,Automatic,First Owner,20.4,2116,67.9,796444
Hyundai,2021,Female,Trustmark Dealer,Manual,Third Owner,23.09,996,43.1,295705
Audi,2016,Female,Dealer,Automatic,Second Owner,17.4,826,68.1,643016
Hyundai,2003,Female,Dealer,Manual,Second Owner,13.54,2517,107.2,390221
Maruti,2015,Male,Dealer,Manual,Third Owner,23.2,2982,142.8,233888
Toyota,2019,Male,Trustmark Dealer,Manual,First Owner,15.88,1913,79.3,341668
Audi,2014,Female,Dealer,Manual,First Owner,15.24,3053,146.9,436657
Maruti,2020,Female,Trustmark Dealer,Manual,First Owner,10.82,,110.7,973408
Toyota,2004,Male,Dealer,Manual,First Owner,20.29,1402,,428718
Hyundai,2005,Female,Dealer,Manual,First Owner,11.51,1891,95.4,218538
Maruti,2016,Male,Dealer,Automatic,Fourth & Above Owner,15,1161,111.6,639443
Audi,2000,Male,Dealer,Manual,Second Owner,20.35,2083,29.4,608754
Audi,2018,Male,Individual,Automatic,Second Owner,20.89,1886,106.1,452384
BMW,2003,Male,Dealer,Automatic,Second Owner,15.39,2815,119.3,551633
Ford,2016,Male,Individual,Automatic,Fourth & Above Owner,17.46,1771,100,892868
Honda,2008,Male,Trustmark Dealer,Automatic,Third Owner,14.51,2515,88.5,801212
Toyota,2001,Female,Trustmark Dealer,Automatic,First Owner,15.81,2446,85.7,775269
BMW,2007,Female,Individual,Manual,Third Owner,19.06,2526,84.2,244896
Honda,2014,Female,Trustmark Dealer,Automatic,First Owner,15.99,1707,60.6,1465964
Honda,2006,Female,Dealer,Automatic,First Owner,17.02,1045,72.8,915376
Maruti,2005,Female,Individual,Automatic,Third Owner,12.14,3125,79.6,755109
Honda,2000,Male,Individual,Manual,Second Owner,,1146,92.8,250706
Ford,2014,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,20.04,2760,76.1,884319
Audi,2022,Male,Trustmark Dealer,Automatic,Third Owner,21.17,1171,68.3,449661
BMW,2006,Female,Individual,Automatic,Second Owner,23.16,1608,109,541719
Honda,2016,Male,Trustmark Dealer,Automatic,First Owner,14.7,2970,99.3,95766
Maruti,2001,Male,Individual,Manual,Second Owner,16.57,959,76.5,227555
Ford,2008,Female,Individual,Automatic,First Owner,10.42,1950,102.7,731564
Hyundai,2008,Male,Individual,Manual,First Owner,30.56,2134,78.7,901870
Audi,2012,Female,Dealer,Manual,Second Owner,17.4,1317,91.6,805471
Audi,2005,Male,Dealer,Automatic,First Owner,22.15,2088,114.4,795246
BMW,2005,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,13.05,1545,74.9,580570
Audi,2019,Male,Individual,Manual,Second Owner,21.99,3135,60.7,477988
Honda,2019,Female,Trustmark Dealer,Automatic,Third Owner,25.43,1219,86.4,686669
Maruti,2020,Female,Dealer,Automatic,First Owner,17.76,2351,55.9,846422
Audi,2002,Male,Trustmark Dealer,Automatic,First Owner,13.96,939,83.1,601459
Audi,2016,Female,Individual,Manual,Fourth & Above Owner,17.44,2632,83,963076
Hyundai,2016,Female,Individual,Manual,Fourth & Above Owner,9.09,1506,28.4,535479
Hyundai,2011,Male,Dealer,Automatic,Third Owner,17.85,1497,103.3,305916
Toyota,2015,Male,Individual,Automatic,First Owner,21.28,1274,85.4,596891
Ford,2014,Male,Trustmark Dealer,Manual,Third Owner,17.86,2460,119.5,631792
Honda,2012,Male,Individual,Manual,Third Owner,16.86,2701,95.4,575391
Audi,2022,Male,Dealer,Manual,First Owner,20.11,3236,108.4,984197
Audi,2000,Male,Individual,Manual,Third Owner,20.42,1310,119.8,841591
Maruti,2016,Female,Dealer,Manual,Third Owner,11.36,1337,86.7,170718
Toyota,2002,Male,Individual,Manual,Fourth & Above Owner,18.36,3060,90,1060310
Ford,2014,Male,Dealer,Manual,Fourth & Above Owner,27.74,2336,50.7,-222425
Toyota,2003,Male,Dealer,Automatic,Third Owner,12.66,2088,121,1245307
BMW,2003,Female,Individual,Manual,First Owner,17.66,2166,86.4,513808
Ford,2017,Male,Trustmark Dealer,Manual,Fourth & Above Owner,25.77,1861,64.9,543130
Audi,2016,Female,Dealer,Automatic,Third Owner,22.42,1032,108.5,581995
Audi,2018,Male,Individual,Automatic,Second Owner,15.95,3107,35.5,715562
Ford,2010,Female,Trustmark Dealer,Automatic,Second Owner,18.82,1107,79.3,599921
Audi,2019,Male,Trustmark Dealer,Manual,Third Owner,17.99,1202,112.7,559981
Honda,2002,Male,Trustmark Dealer,Manual,Second Owner,15.01,1796,79.1,992675
Ford,2007,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,17.7,2084,72.1,769679
Toyota,2013,Male,Dealer,Automatic,First Owner,16.88,2299,79.6,312359
Ford,2000,Male,Dealer,Automatic,Third Owner,18.45,1549,39.8,822202
Audi,2013,Female,Dealer,Manual,Fourth & Above Owner,15.01,1929,107.9,757232
Honda,2001,Male,Trustmark Dealer,Automatic,First Owner,12.89,,86.9,1309254
Honda,2022,Female,Dealer,Manual,Second Owner,17.83,3190,83.2,837642
BMW,2003,Male,Individual,Manual,Second Owner,24.86,2270,83.3,552728
Toyota,2018,Male,Trustmark Dealer,Manual,Second Owner,,1861,90.4,533498
Hyundai,2005,Female,Individual,Manual,Second Owner,16.67,1654,106.3,525326
Hyundai,2000,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,21.02,1869,88.7,-128435
Ford,2016,Female,Individual,Automatic,Fourth & Above Owner,17.37,2545,56,441990
BMW,2007,Male,Individual,Automatic,First Owner,25.47,2428,104.4,813952
Maruti,2018,Female,Individual,Manual,Third Owner,17.98,3103,102.5,593277
Ford,2020,Male,Dealer,Automatic,First Owner,20.8,2984,95.1,214444
BMW,2000,Female,Dealer,Manual,Third Owner,14.98,2054,116.9,889389
Toyota,2004,Male,Trustmark Dealer,Manual,Second Owner,,1617,90.8,510420
Toyota,2015,Male,Dealer,Manual,Second Owner,19.1,2537,117.8,233527
Toyota,2005,Female,Dealer,Automatic,Second Owner,17.77,1772,125.2,1261804
Toyota,2007,Female,Dealer,Manual,Second Owner,15.99,837,104.6,284048
Toyota,2012,Male,Trustmark Dealer,Manual,Fourth & Above Owner,15.45,1978,71.3,863847
BMW,2015,Female,Trustmark Dealer,Automatic,First Owner,19.13,904,86.7,369206
BMW,2002,Female,Dealer,Automatic,Third Owner,20.52,1054,121,640748
Honda,2018,Female,Trustmark Dealer,Automatic,Third Owner,17.49,3335,52.6,329346
Hyundai,2011,Female,Trustmark Dealer,Manual,Fourth & Above Owner,19.15,2781,80.2,228209
Audi,2015,Male,Trustmark Dealer,Manual,Second Owner,17.85,3305,81.4,756661
Toyota,2010,Female,Dealer,Automatic,First Owner,18.39,3375,68.4,721587
Maruti,2009,Male,Dealer,Manual,Second Owner,17.2,,111.8,943395
Audi,2019,Female,Individual,Manual,Fourth & Above Owner,18.07,1324,99.4,589685
BMW,2003,Male,Individual,Automatic,Third Owner,28.79,1169,72.2,1266106
Maruti,2011,Female,Individual,Automatic,Fourth & Above Owner,19.25,901,105.1,680504
Maruti,2022,Male,Trustmark Dealer,Automatic,Third Owner,20.58,1463,86,770032
Maruti,2001,Male,Individual,Automatic,First Owner,19.75,1489,67.7,192471
Honda,2021,Male,Individual,Automatic,Third Owner,16.95,2726,72.2,415775
BMW,2018,Female,Trustmark Dealer,Automatic,First Owner,,3446,100.9,755904
Maruti,2004,Female,Trustmark Dealer,Automatic,Second Owner,16.84,3447,113.5,574732
Toyota,2007,Female,Dealer,Automatic,Second Owner,22.22,3388,77.8,656305
Ford,2006,Female,Individual,Manual,Fourth & Above Owner,16.66,2335,103.6,355052
Maruti,2013,Male,Dealer,Manual,First Owner,14.16,,129.5,636584
Honda,2022,Female,Trustmark Dealer,Manual,Second Owner,19.46,3210,58.5,635564
Audi,2002,Male,Individual,Manual,First Owner,,2828,98.9,245869
BMW,2017,Female,Individual,Manual,Second Owner,20.14,1730,110.8,792765
Honda,2015,Male,Individual,Manual,Second Owner,13.22,2656,87.6,89981
Maruti,2022,Male,Dealer,Manual,Third Owner,16.72,3459,121,655271
BMW,2018,Male,Individual,Manual,Fourth & Above Owner,12.27,2789,145,1129678
Ford,2018,Female,Dealer,Manual,Third Owner,29.3,3190,98.6,804165
Maruti,2017,Male,Dealer,Manual,First Owner,11.38,2982,84.2,802290
Honda,2019,Male,Trustmark Dealer,Manual,Second Owner,18.04,2685,114.4,330772
Hyundai,2015,Female,Individual,Automatic,Fourth & Above Owner,22.57,1777,111.1,1130719
Toyota,2007,Female,Dealer,Manual,Second Owner,22.15,2794,27,1013015
Audi,2000,Male,Individual,Automatic,Second Owner,21.41,1179,89.9,346923
Honda,2016,Female,Individual,Manual,Third Owner,,2313,80.1,457571
BMW,2011,Male,Trustmark Dealer,Automatic,First Owner,23.4,1948,99.9,2929191
Maruti,2020,Female,Dealer,Manual,Fourth & Above Owner,21.65,2885,85.2,1138844
Toyota,2010,Male,Dealer,Automatic,Fourth & Above Owner,18.85,1580,87.9,220594
Maruti,2004,Female,Trustmark Dealer,Manual,Fourth & Above Owner,18.96,1109,68.4,298887
BMW,2011,Male,Dealer,Automatic,First Owner,16.78,2953,108.4,556864
Maruti,2016,Female,Dealer,Manual,Fourth & Above Owner,14.36,1355,131.4,-51328
Hyundai,2005,Female,Dealer,Automatic,First Owner,22.95,1196,68.8,605714
Toyota,2000,Female,Trustmark Dealer,Manual,Fourth & Above Owner,23.25,3000,55.1,955723
Toyota,2004,Female,Dealer,Automatic,Second Owner,14.46,3383,90.5,168409
BMW,2013,Female,Individual,Automatic,First Owner,17.38,2683,89.3,638132
Audi,2004,Female,Trustmark Dealer,Automatic,Third Owner,17.43,1969,119.3,425469
Hyundai,2021,Male,Trustmark Dealer,Automatic,Fourth & Above Owner,,3430,59.3,1091984
Honda,2000,Male,Trustmark Dealer,Automatic,Third Owner,18.26,1000,76.6,429062
Maruti,2017,Male,Dealer,Automatic,First Owner,,2690,36.3,1055698
Ford,2015,Male,Trustmark Dealer,Automatic,Second Owner,15.01,811,124.4,420763
Maruti,2008,Male,Dealer,Automatic,Third Owner,,1875,96.3,831353
Maruti,2018,Male,Individual,Manual,Third Owner,22.95,2776,78.4,675584
Honda,2021,Male,Trustmark Dealer,Manual,Second Owner,16.15,2125,56.9,558518
Maruti,2004,Female,Trustmark Dealer,Manual,Second Owner,12.95,2695,,362841
Hyundai,2001,Male,Trustmark Dealer,Automatic,First Owner,16.06,1719,100.4,696929
Hyundai,2014,Female,Individual,Automatic,Fourth & Above Owner,16.68,3368,62.3,467839
Toyota,2006,Female,Dealer,Manual,Third Owner,24.22,2947,92.6,393070
BMW,2003,Female,Trustmark Dealer,Manual,Third Owner,21.7,1670,,1041817
Audi,2000,Male,Individual,Automatic,First Owner,22.59,1165,81.3,764259
Ford,2012,Female,Dealer,Automatic,Fourth & Above Owner,21.28,1456,66,793092
Maruti,2019,Female,Trustmark Dealer,Manual,First Owner,21.78,960,99.6,482520
Maruti,2021,Female,Dealer,Automatic,Third Owner,15.25,974,59.4,544206
Honda,2006,Male,Trustmark Dealer,Manual,Third Owner,17.21,2303,133,525427
BMW,2014,Male,Individual,Automatic,Second Owner,14.04,1344,,701172
Hyundai,2022,Female,Dealer,Manual,Second Owner,17.16,3324,,792541
Ford,2013,Female,Individual,Manual,Fourth & Above Owner,20.74,3130,,590925
Toyota,2022,Female,Trustmark Dealer,Automatic,Third Owner,18.54,2561,79.4,362207
Hyundai,2018,Female,Individual,Manual,Third Owner,23.25,1756,82.6,828171
BMW,2021,Male,Dealer,Automatic,Second Owner,,1251,99.6,610021
Audi,2019,Female,Dealer,Automatic,First Owner,20,881,116,167749
Toyota,2017,Female,Trustmark Dealer,Automatic,First Owner,13.01,,64.1,-40588
Audi,2009,Female,Dealer,Automatic,Third Owner,18.38,1615,115.3,689369
Honda,2008,Male,Trustmark Dealer,Automatic,Third Owner,20.96,3367,105.4,351158
Honda,2007,Female,Individual,Manual,Fourth & Above Owner,17.14,2981,77.3,729319
Maruti,2009,Male,Individual,Automatic,Fourth & Above Owner,20.2,1246,62.8,367315
Audi,2016,Male,Individual,Automatic,Second Owner,14.16,2965,92.9,639956
BMW,2001,Female,Trustmark Dealer,Manual,Third Owner,11.35,2419,63.5,486480
Ford,2005,Female,Individual,Automatic,First Owner,20.23,2593,115.6,1125576
Toyota,2004,Male,Trustmark Dealer,Manual,Fourth & Above Owner,24.98,1548,61.9,885095
Hyundai,2008,Female,Individual,Automatic,Second Owner,14.02,1973,103.7,1004189
BMW,2004,Female,Individual,Manual,Second Owner,22.89,2709,88,607214
BMW,2017,Male,Dealer,Automatic,First Owner,18.17,2356,76,846708
Honda,2019,Male,Individual,Automatic,Fourth & Above Owner,12.66,1445,87.4,627495
Audi,2008,Male,Individual,Automatic,First Owner,13.47,1178,117,1040877
Maruti,2016,Male,Trustmark Dealer,Automatic,Second Owner,18.06,3455,60.2,578231
Maruti,2016,Female,Dealer,Automatic,Third Owner,16.38,3372,79.7,180753
Toyota,2011,Female,Trustmark Dealer,Manual,First Owner,12.75,1940,71.2,414
Honda,2006,Female,Individual,Manual,Second Owner,11.22,3423,89,1100493
BMW,2002,Male,Individual,Automatic,Third Owner,14.61,1736,72.9,743551
Ford,2009,Female,Dealer,Manual,Third Owner,18.78,2813,,763277
Honda,2001,Male,Individual,Automatic,Fourth & Above Owner,17.97,1461,63.6,1046894
Toyota,2002,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,16,2140,130.9,104480
Toyota,2015,Male,Trustmark Dealer,Automatic,Second Owner,18.81,1675,96.2,492420
Honda,2001,Male,Dealer,Manual,First Owner,22.16,811,95.3,529179
Toyota,2009,Male,Individual,Automatic,Third Owner,19.58,1913,82.9,822683
Honda,2005,Female,Dealer,Manual,Fourth & Above Owner,17.51,1187,88.7,392208
Hyundai,2021,Male,Individual,Automatic,Fourth & Above Owner,21.71,2930,79.3,239588
Honda,2010,Male,Individual,Automatic,First Owner,14.16,2719,103.2,236895
Audi,2022,Male,Individual,Manual,Fourth & Above Owner,17.1,1195,92.5,944825
Honda,2006,Female,Trustmark Dealer,Automatic,Second Owner,17.2,3392,60.7,377240
Toyota,2014,Male,Dealer,Manual,First Owner,,1439,96.3,434395
Audi,2005,Female,Trustmark Dealer,Automatic,Third Owner,16.32,899,28.5,790349
Toyota,2019,Male,Trustmark Dealer,Automatic,Second Owner,9.7,1256,100.3,390316
Maruti,2008,Male,Trustmark Dealer,Automatic,Third Owner,25.65,2822,54.8,88515
Maruti,2021,Female,Dealer,Manual,Third Owner,14.25,3175,87.6,125490
Audi,2019,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,24.34,873,60.1,582958
Hyundai,2011,Male,Trustmark Dealer,Manual,Second Owner,18.15,2939,90.1,749199
Maruti,2018,Female,Individual,Automatic,Second Owner,20.26,3177,104.5,539326
Honda,2019,Female,Individual,Automatic,First Owner,16.04,2663,127.6,729133
Toyota,2002,Male,Trustmark Dealer,Manual,Second Owner,18.83,974,51.5,116149
Maruti,2014,Female,Dealer,Automatic,First Owner,20.6,2560,114.4,136409
Maruti,2001,Male,Trustmark Dealer,Automatic,Second Owner,20.66,3162,93.3,1276181
Hyundai,2020,Female,Dealer,Manual,Third Owner,21.1,1296,78.7,969835
Audi,2001,Female,Individual,Manual,First Owner,16.53,2092,109,830692
Audi,2021,Female,Dealer,Manual,Second Owner,16.08,1227,84.1,402083
BMW,2002,Female,Trustmark Dealer,Automatic,First Owner,11.62,834,107.9,528598
Hyundai,2005,Female,Individual,Manual,Fourth & Above Owner,20.09,2966,65.2,599497
Honda,2014,Female,Dealer,Manual,Fourth & Above Owner,22.33,2194,74.2,994304
Audi,2009,Male,Trustmark Dealer,Automatic,First Owner,24.46,2180,113.6,720835
Toyota,2008,Male,Trustmark Dealer,Manual,First Owner,19.22,3237,127.1,757774
Hyundai,2000,Female,Dealer,Manual,Third Owner,14.93,975,89.1,549704
Maruti,2015,Female,Dealer,Automatic,Second Owner,11.21,2953,20.3,837800
Toyota,2005,Female,Dealer,Manual,Fourth & Above Owner,22.17,1391,85,690697
Toyota,2008,Female,Trustmark Dealer,Automatic,Fourth & Above Owner,10.81,1986,90.8,613207
Maruti,2003,Female,Individual,Manual,Second Owner,16.64,1713,84.2,377075
Hyundai,2001,Male,Individual,Manual,Fourth & Above Owner,17.1,2090,98.4,565928
